step,max_kl,lr,steps,reward_mean,value_mean,ret_mean,adv_mean,explained_variance,rollout_end_time,value_loss,policy_loss,final_policy_loss,i_scale,kl,entropy,gd_time,total_time
69,0.01,0.001,600,-0.221211,-8.15795,-7.87666,0.278836,0.979784,0.0670292,1.94836,-0.177554,-0.180822,0,0.00671877,1.07075,8.42815,1084.54
70,0.01,0.001,600,-0.226654,-8.23949,-8.12945,0.10942,0.980345,0.0530376,1.84734,-0.0786636,-0.0819259,0,0.00867182,1.05336,7.46726,1095.99
71,0.01,0.001,600,-0.237817,-8.494,-8.60341,-0.110059,0.981314,0.0492456,1.74025,0.106312,0.103223,0,0.00753328,1.05598,7.78249,1106.97
72,0.01,0.001,600,-0.246206,-8.82854,-8.91959,-0.0923841,0.985346,0.0508184,1.59864,0.0769981,0.0745424,0,0.00852194,1.06102,8.46053,1119.13
73,0.01,0.001,600,-0.235754,-8.69529,-8.60771,0.0864575,0.982488,0.0525899,1.76786,-0.104264,-0.107138,0,0.00625813,1.04554,7.7926,1130.28
74,0.01,0.001,600,-0.223256,-8.40162,-8.11668,0.28372,0.983754,0.0533903,1.61572,-0.259948,-0.26332,0,0.00784133,1.0535,8.1945,1141.9
75,0.01,0.001,600,-0.230385,-8.16405,-8.19989,-0.0385383,0.98253,0.0525763,1.71322,0.0432942,0.0406814,0,0.0080082,1.03578,7.46051,1153.01
76,0.01,0.001,600,-0.243601,-8.24296,-8.46557,-0.223913,0.984682,0.0532374,1.5289,0.292819,0.290016,0,0.00867159,1.0447,8.09994,1164.3
77,0.01,0.001,600,-0.244332,-8.60783,-8.75606,-0.148064,0.986344,0.0518858,1.55172,0.0858474,0.0827634,0,0.00708122,1.05267,8.25226,1175.96
78,0.01,0.001,600,-0.231545,-8.50901,-8.37095,0.135848,0.981467,0.0498664,1.85825,-0.120647,-0.123803,0,0.00779989,1.06276,8.35103,1187.72
79,0.01,0.001,600,-0.235668,-8.42507,-8.4157,0.00828527,0.985987,0.0603099,1.69285,-0.000251096,-0.00302657,0,0.00807096,1.04503,8.07695,1199.24
80,0.01,0.001,600,-0.235405,-8.25038,-8.30032,-0.0498969,0.982985,0.0514958,1.57816,0.0461976,0.0427341,0,0.00692777,1.06402,7.48819,1210
81,0.01,0.001,600,-0.234524,-8.45554,-8.48425,-0.0314639,0.982247,0.0516865,1.60378,-0.0174698,-0.0206791,0,0.00853965,1.0361,7.95645,1221.14
82,0.01,0.001,600,-0.244812,-8.6241,-8.77827,-0.155211,0.983508,0.051125,1.58672,0.1659,0.161329,0,0.00947165,1.03241,7.86919,1232.62
83,0.01,0.001,600,-0.232625,-8.70572,-8.49913,0.204959,0.987737,0.0520213,1.29322,-0.198049,-0.200555,0,0.00705828,1.03527,7.76818,1244.25
84,0.01,0.001,600,-0.245289,-8.80838,-8.8691,-0.0632048,0.986563,0.0520184,1.57987,0.0538799,0.0516161,0,0.0071702,1.01841,7.67803,1255.26
85,0.01,0.001,600,-0.234183,-8.7265,-8.53351,0.191691,0.987792,0.0504384,1.41397,-0.164735,-0.16768,0,0.00892087,1.01218,8.99754,1267.67
86,0.01,0.001,600,-0.254064,-8.93174,-9.31245,-0.381571,0.978092,0.0525758,1.89467,0.384442,0.380885,0,0.00715221,1.03496,8.09217,1279.42
87,0.01,0.001,600,-0.23875,-9.04036,-8.79748,0.242555,0.985786,0.0567966,1.4159,-0.257932,-0.260705,0,0.00778734,1.01689,8.18029,1290.86
88,0.01,0.001,600,-0.233611,-8.98169,-8.68537,0.294295,0.982728,0.0520921,1.78178,-0.242174,-0.245168,0,0.00781474,0.996772,7.92804,1302.29
89,0.01,0.001,600,-0.237887,-8.54857,-8.53273,0.0151935,0.983184,0.052304,1.66953,0.0222828,0.0186986,0,0.0092645,0.983281,7.95436,1313.74
90,0.01,0.001,600,-0.251047,-8.81404,-8.94693,-0.134632,0.988602,0.050611,1.33782,0.143788,0.141084,0,0.006968,0.987289,7.81811,1324.92
91,0.01,0.001,600,-0.244722,-8.54241,-8.59505,-0.0528764,0.9877,0.0548682,1.47586,0.055178,0.050259,0,0.00783099,0.98483,7.83604,1336.14
92,0.01,0.001,600,-0.239247,-8.54595,-8.53653,0.00960313,0.98474,0.0500627,1.587,0.00117449,-0.00223618,0,0.00785159,1.00536,8.13994,1347.55
93,0.01,0.001,600,-0.247331,-8.65106,-8.7885,-0.138488,0.982227,0.0556543,1.60801,0.148076,0.145372,0,0.00864314,0.990743,8.25645,1359.25
94,0.01,0.001,600,-0.249538,-8.82236,-8.94547,-0.12495,0.98257,0.0587685,1.53664,0.125264,0.122222,0,0.00820456,0.994409,8.14177,1370.88
95,0.01,0.001,600,-0.235505,-8.46224,-8.4192,0.0427901,0.982876,0.0552332,1.681,0.0110677,0.00282561,0,0.00766232,0.987094,7.97961,1382.21
96,0.01,0.001,600,-0.232114,-8.21042,-8.13928,0.0693567,0.983712,0.0521152,1.63318,-0.0739741,-0.0775796,0,0.00895239,0.976978,8.12361,1393.64
97,0.01,0.001,600,-0.23632,-8.36639,-8.38286,-0.017732,0.988592,0.0597606,1.22249,0.0292724,0.0272265,0,0.00781586,0.996421,8.23332,1405.39
98,0.01,0.001,600,-0.240748,-8.35,-8.48872,-0.139584,0.986866,0.0515924,1.34243,0.017481,0.0146622,0,0.00971116,0.976069,14.3008,1422.89
99,0.01,0.001,600,-0.243983,-8.33338,-8.51967,-0.186883,0.990216,0.0538831,1.04192,0.189279,0.186148,0,0.00915406,0.985099,7.90513,1434.23
100,0.01,0.001,600,-0.232786,-8.29061,-8.26558,0.0234134,0.984535,0.05496,14.5227,0.33312,0.324503,0,0.00844172,0.984791,8.03167,1445.86
101,0.01,0.001,600,-0.252771,-8.21994,-8.49566,-0.276171,0.982634,0.0507751,1.23684,0.156257,0.152763,0,0.00842666,0.981496,8.38274,1457.62
102,0.01,0.001,600,-0.245634,-8.33679,-8.5149,-0.178582,0.987983,0.0558438,8.59095,0.348366,0.345003,1,0.00240841,0.977787,7.95904,1469.13
103,0.01,0.001,600,-0.226056,-8.30649,-8.01741,0.287648,0.985886,0.0568643,2.06638,-0.236442,-0.240367,0,0.00898047,0.951477,8.11693,1480.51
